file,onset,offset,word,orig_utt_type,orig_present,new_utt_type,new_present
20_06,2582280,2585140,puppies,d,n,d,n
20_06,2582280,2585140,bumbo,d,y,d,n
20_06,2665640,2667100,puppies,q,y,q,n
20_06,2690510,2693220,doggies,n,y,n,n
20_06,2740000,2741000,binky,d,n,d,n
20_06,2746870,2747940,binky,q,n,q,n
20_06,2793240,2794590,spit+up,d,y,d,y
20_06,2798860,2800220,leg,q,y,q,n
20_06,2844910,2846570,binky,q,n,q,n
20_06,2859820,2860820,binky,q,n,q,n
20_06,2860820,2870240,binky,q,n,q,n
20_06,2870240,2871240,binky,d,n,d,n
20_06,3135140,3136140,binky,q,n,q,n
20_06,3142970,3145150,potty,d,n,d,n
20_06,3533510,3536620,window,q,y,q,y
20_06,3628270,3629740,binky,q,n,q,n
20_06,3636800,3637940,binky,q,y,q,n
20_06,3643300,3648720,mouth,d,n,d,n
20_06,3643300,3648720,hands,d,y,d,n
20_06,3671870,3672700,mouth,i,y,d,n
20_06,3685650,3687690,binky,n,y,n,y
20_06,3717550,3718400,binky,n,y,n,y
20_06,3730760,3734420,mouth,i,y,i,y
20_06,3730760,3734420,binky,i,y,i,y
20_06,3749450,3753490,turtle,i,n,i,y
20_06,3749450,3753490,turtle,i,n,i,y
20_06,3749450,3753490,turtle,q,n,q,y
20_06,3758250,3759600,turtle,q,n,q,y
20_06,3767200,3768200,turtle,q,n,q,y
07_06,915650,918640,frog,d,y,d,y
07_06,924140,928820,belly,d,y,d,y
07_06,924140,928820,balls,d,y,d,y
07_06,934490,935500,octopus,n,y,d,y
07_06,973270,974740,pacifier,q,y,q,y
07_06,974740,975820,mouth,q,y,q,y
07_06,990920,992160,belly,q,n,q,y
07_06,998270,1000000,mirror,d,y,d,y
07_06,1024800,1026480,bottle,d,n,d,n
07_06,1218270,1219270,book,d,n,d,n
07_06,1249720,1252060,book,d,n,d,n
07_06,1259230,1260230,feet,q,n,q,y
07_06,1272840,1273640,book,d,n,d,n
07_06,1350000,1351800,arm,d,y,d,y
07_06,1351800,1355160,mirror,d,y,d,y
07_06,1358240,1360200,jacket,q,y,q,y
07_06,1358240,1360200,pacifier,q,y,q,y
07_06,1379340,1381070,socks,d,n,d,n
07_06,1392030,1393230,socks,d,n,d,n
07_06,1431770,1431860,slippers,d,n,d,n
07_06,1433460,1435220,socks,d,y,d,y
07_06,1438910,1440320,cats,d,y,s,y
07_06,1483220,1484420,vest,d,y,d,y
07_06,1498350,1499000,arm,n,y,d,y
07_06,1502750,1503780,arms,n,y,d,y
07_06,1513110,1515470,toy,d,y,d,y
07_06,1553420,1554270,leg,d,y,d,y
07_06,1633320,1635020,blanket,d,y,d,y
07_06,1716820,1717920,arm,d,y,d,y
07_06,1745200,1746270,head,q,y,q,y
07_06,1748700,1749700,head,q,y,q,y
07_06,1771150,1771950,mouth,d,y,d,y
07_06,1792920,1794830,train,d,y,q,n
07_06,1792920,1794830,train,q,y,d,n
07_06,1795720,1799690,train,q,y,q,n
07_06,1843530,1844540,mountain,s,n,s,n
07_06,1844540,1848430,mountain,s,n,s,n
07_06,1844540,1848430,train,s,y,s,y
07_06,1848430,1849490,train,s,y,s,y
07_06,1854430,1855770,mountain,s,n,s,n
07_06,1855770,1856570,train,s,y,s,y
07_06,1864740,1868680,dog,q,y,q,y
07_06,1868680,1870430,toy,d,y,d,y
07_06,1885320,1887500,dog,q,y,q,y
07_06,1888830,1889920,dog,q,y,q,y
07_06,1899340,1900700,dog,q,y,q,y
07_06,1910610,1911610,animal,d,y,d,y
07_06,1927600,1929570,doggy,d,y,d,y
07_06,1967050,1968510,ladybug,n,y,n,y
